Better Than This,,2:45,Salt The Wound,Carnal Repercussions,Salt The Wound,"2009-09-27, 2:13 PM",244 kbps (VBR),Metal,81,3A,100,0
Voices,,3:47,Saosin,Saosin,Saosin,"2008-06-11, 6:27 PM",137 kbps (VBR),Alternative,90,9A,100,0
The Day I Left The Womb,,2:25,Escape the Fate,Dying Is Your Latest Fashion,Escape the Fate,"2008-09-08, 10:35 PM",218 kbps (VBR),Rock,103,6A,100,0
Empire,,5:38,Chimaira,Resurrection,Chimaira,"2009-02-02, 11:28 PM",249 kbps (VBR),Metal,100,9A,100,0
Start The Shooting,,4:44,A Day to Remember,For Those Who Have Heart,A Day to Remember,"2009-04-05, 11:45 PM",128 kbps,Pop Punk,90,9B,100,0
Heartless,,3:00,A Day to Remember,For Those Who Have Heart,A Day to Remember,"2009-04-05, 11:46 PM",128 kbps,Pop Punk,105,5A,100,0
Homesick,,3:57,A Day to Remember,Homesick,A Day to Remember,"2009-02-01, 11:35 PM",128 kbps,Pop Punk,110,6B,100,0
Everchanging(acoustic),,4:21,Rise Against,This Is Noise,Rise Against,"2008-11-19, 5:06 PM",160 kbps,Punk,122,1A,100,0
The Danger In Starting A Fire,,3:03,A Day to Remember,For Those Who Have Heart,A Day to Remember,"2009-04-05, 11:41 PM",128 kbps,Pop Punk,91,5A,100,0
DREAMS,,4:15,We Came As Romans,DREAMS EP,We Came As Romans,"2009-12-19, 10:29 PM",256 kbps,Alternative,155,8A,,0
Fast Forward To 2012,,1:33,A Day to Remember,For Those Who Have Heart,A Day to Remember,"2009-04-05, 11:41 PM",128 kbps,Pop Punk,145,6A,100,0
Holocausts,,3:48,A Plea For Purging,Depravity,A Plea For Purging,"2009-09-16, 9:46 PM",308 kbps (VBR),Metal,138,11A,100,0
